Noun Phrase,Frequency
developing countries,735
sustainable development,526
the sdgs,351
climate change,236
the need,166
the private sector,162
the development,125
climate finance,123
civil society,118
the imf,113
the importance,111
gender equality,110
the fourth international conference,110
the use,106
the sustainable development goals,106
human rights,102
the implementation,97
member states,94
private capital,93
the world,92
debt sustainability,91
private finance,91
the world bank,90
capacity building,90
climate action,86
blended finance,82
social protection,82
disaster risk reduction,79
economic growth,77
the potential,76
