Bigram,Frequency
draft aaaa,6
aaaa paragraph,7
paragraph commitment,7
commitment specific,7
specific target,7
target objective,7
objective matching,6
matching sustainable,6
sustainable development,971
development goal,13
goal sdg,12
sdg target,22
target available,7
available state,8
state implementation,8
implementation progress,7
progress sdg,10
sdg relevant,9
relevant indicator,4
indicator proxy,4
proxy address,1
address debt,7
debt sustainability,217
sustainability challenges,7
challenges especially,3
